SR Code,Program,Year Level,Section,Where are you staying this first semester AY 2020-2021?,Device/s that will be used during online classes (Check all that applies),Final Exam Part 1,Final Exam Part 2,Midterm Exam Part 1,Midterm Exam Part 2,Midterm Exam Part 3,Long Quiz 1,Homework 1,Homework 2,Individual Recitation 1,Individual Recitation 2,Final Grade,Remarks
20-09169,BS MEXE,Third Year,3102,at home,Laptop /Personal Computer,22,6,26,0,15.8,40,30,44,35,35,85,PASS
20-05200,BS MEXE,Third Year,3102,at a boarding house,Smart Phones / Android Phones,16,5,27,0,11.3,40,30,44,33,33,81,PASS
20-05764,BS MEXE,Third Year,3102,at a boarding house,Smart Phones / Android Phones,24,12,31,4,13,40,30,53,35,33,89,PASS
19-01740,BS MEXE,Fourth Year,3101,at home,"Laptop /Personal Computer, Basic mobile phone",21,12,23,0,7.5,40,30,50,35,35,86,PASS
20-05118,BS MEXE,Third Year,3102,at home,Smart Phones / Android Phones,11,12,29,8,15.8,34,20,49,34,24,83,PASS
20-05419,BS MEXE,Third Year,3102,at a boarding house,"Laptop /Personal Computer, Smart Phones / Android Phones",33,14,25,4,19,36,30,50,35,34,93,PASS
20-03669,BS MEXE,Third Year,3102,at home,"Laptop /Personal Computer, Smart Phones / Android Phones, Basic mobile phone",25,12,32,12,15.3,40,30,58,35,34,93,PASS
20-00331,BS MEXE,Third Year,3102,at home,"Laptop /Personal Computer, Smart Phones / Android Phones",17,9,31,0,19,40,30,42,35,34,86,PASS
20-02154,BS MEXE,Third Year,3102,at a boarding house,Smart Phones / Android Phones,7,11,20,4,13.3,40,30,58,31,35,85,PASS
20-04852,BS MEXE,Third Year,3102,at home,"Laptop /Personal Computer, Smart Phones / Android Phones",19,14,25,0,14.5,37,30,54,31,35,88,PASS
20-00885,BS MEXE,Third Year,3102,at home,Smart Phones / Android Phones,16,1,23,0,10.8,40,30,58,25,30,78,PASS
20-07007,BS MEXE,Third Year,3102,at a boarding house,Smart Phones / Android Phones,28,10,30,0,12.5,37,24,40,35,35,85,PASS
20-02574,BS MEXE,Third Year,3102,at home,Smart Phones / Android Phones,25,8,22,4,17,36,30,53,26,34,85,PASS
20-05339,BS MEXE,Third Year,3102,at a boarding house,Smart Phones / Android Phones,31,10,29,4,15,39,30,42,32,35,88,PASS
20-00005,BS MEXE,Third Year,3102,at home,Smart Phones / Android Phones,28,12,31,0,13,40,30,52,35,27,88,PASS
20-03490,BS MEXE,Third Year,3102,at home,Smart Phones / Android Phones,13,11,30,8,17.3,40,30,54,33,34,89,PASS
20-03768,BS MEXE,Third Year,3102,at a boarding house,Smart Phones / Android Phones,24,14,21,0,17,40,30,40,35,25,86,PASS
20-00556,BS MEXE,Third Year,3102,at home,Smart Phones / Android Phones,22,12,29,12,10.5,40,30,39,33,31,88,PASS
20-03835,BS MEXE,Third Year,3102,at home,Smart Phones / Android Phones,25,12,29,0,14.3,40,30,50,35,35,89,PASS
20-05764,BS MEXE,Third Year,3102,at a boarding house,Smart Phones / Android Phones,27,14,26,4,17,38,30,54,34,35,92,PASS
20-01687,BS MEXE,Third Year,3102,at home,"Laptop /Personal Computer, Smart Phones / Android Phones",11,10,28,4,13.5,31,20,49,31,33,82,PASS
19-09795,BS MEXE,Third Year,3102,at a relative's home,Smart Phones / Android Phones,11,13,33,12,18,40,30,42,35,35,91,PASS
20-07561,BS MEXE,Third Year,3102,at a boarding house,"Laptop /Personal Computer, Smart Phones / Android Phones",28,9,29,4,13.5,40,30,52,35,26,86,PASS
20-07331,BS MEXE,Third Year,3102,at home,Smart Phones / Android Phones,18,7,18,0,11.8,37,30,29,29,32,79,PASS
20-00228,BS MEXE,Third Year,3102,at home,Smart Phones / Android Phones,31,12,28,4,18,30,30,29,25,35,87,PASS
20-06973,BS MEXE,Third Year,3102,at home,Laptop /Personal Computer,25,9,26,4,15,40,30,34,34,32,85,PASS
20-06832,BS MEXE,Third Year,3102,at home,"Laptop /Personal Computer, Smart Phones / Android Phones",10,8,29,0,7.5,35,30,48,35,35,82,PASS
20-00665,BS MEXE,Third Year,3102,at home,Smart Phones / Android Phones,25,9,32,0,20,40,30,54,31,33,88,PASS
20-05457,BS MEXE,Third Year,3102,at a boarding house,Smart Phones / Android Phones,21,12,31,4,17,40,30,50,33,34,89,PASS
20-04180,BS MEXE,Third Year,3102,at home,"Smart Phones / Android Phones, Tablet / iPad, Basic mobile phone",12,10,16,0,6.8,40,30,50,31,29,80,PASS
20-07531,BS MEXE,Third Year,3102,at home,"Laptop /Personal Computer, Smart Phones / Android Phones",22,12,32,4,17,37,30,40,35,35,89,PASS
20-06291,BS MEXE,Third Year,3102,at home,Basic mobile phone,0,10,12,0,3,35,30,58,35,35,80,PASS
20-05327,BS MEXE,Third Year,3102,at home,Smart Phones / Android Phones,33,13,33,16,16.3,34,30,38,31,22,91,PASS
20-08525,BS MEXE,Third Year,3102,at a boarding house,Basic mobile phone,21,12,28,4,14.5,40,30,49,33,34,88,PASS
20-04685,BS MEXE,Third Year,3102,at home,Laptop /Personal Computer,9,8,19,12,16.8,38,30,50,24,23,81,PASS
20-05957,BS MEXE,Third Year,3102,at home,"Laptop /Personal Computer, Smart Phones / Android Phones",28,10,28,8,12.8,40,30,38,34,35,88,PASS
20-06450,BS MEXE,Third Year,3102,at home,Smart Phones / Android Phones,21,12,27,0,9.8,40,30,34,33,35,85,PASS
19-04050,BS MEXE,Third Year,3102,at home,Smart Phones / Android Phones,9,7,27,0,8.3,35,30,52,30,29,79,PASS
