SR Code,Program,Year Level,Section,Where are you staying this first semester AY 2020-2021?,Device/s that will be used during online classes (Check all that applies),Final Exam Part 1,Final Exam Part 2,Midterm Exam Part 1,Midterm Exam Part 2,Midterm Exam Part 3,Long Quiz 1,Homework 1,Homework 2,Individual Recitation 1,Individual Recitation 2,Final Grade,Remarks
20-04575,BS MEXE,Third Year,MEXE-3105,at home,"Laptop /Personal Computer, Smart Phones / Android Phones",21,12,17,0,7.5,20,30,30,16,22,75,PASS
20-04872,BS MEXE,Third Year,MEXE-3105,at a boarding house,Smart Phones / Android Phones,6,10,28,0,12,11,30,24,34,24,77,PASS
20-01699,BS MEXE,Third Year,MEXE-3105,at home,Laptop /Personal Computer,8,13,25,0,14.3,2,30,25,35,18,78,PASS
20-01480,BS MEXE,Fourth Year,MEXE-3105,at home,"Laptop /Personal Computer, Smart Phones / Android Phones",27,13,30,4,14.5,15,30,50,35,33,89,PASS
20-68474,BS MEXE,Third Year,MEXE-3105,at a boarding house,Smart Phones / Android Phones,9,11,22,0,14.8,18,30,17,33,34,80,PASS
20-02974,BS MEXE,Third Year,MEXE-3105,at home,Smart Phones / Android Phones,28,14,30,12,17,34,30,50,34,35,94,PASS
20-02294,BS MEXE,Third Year,MEXE-3105,at home,Smart Phones / Android Phones,21,11,29,4,16.8,17,30,30,34,29,84,PASS
20-01337,BS MEXE,Third Year,MEXE-3105,at home,"Laptop /Personal Computer, Smart Phones / Android Phones",15,5,29,4,9.5,17,18,17,35,27,75,PASS
20-01941,BS MEXE,Third Year,MEXE-3105,at home,Smart Phones / Android Phones,27,9,22,0,12.8,4,30,50,26,35,82,PASS
20-06131,BS MEXE,Third Year,MEXE-3105,at home,"Laptop /Personal Computer, Smart Phones / Android Phones",9,8,28,4,13.3,19,30,30,33,34,81,PASS
20-60481,BS MEXE,Third Year,MEXE-3105,at home,"Laptop /Personal Computer, Smart Phones / Android Phones",25,12,20,4,14.3,19,30,49,34,32,86,PASS
20-02381,BS MEXE,Third Year,MEXE-3105,at home,"Laptop /Personal Computer, Smart Phones / Android Phones",20,11,24,4,10,18,30,25,34,31,82,PASS
19-01164,BS MEXE,Third Year,MEXE-3105,at home,Smart Phones / Android Phones,28,12,23,0,11.8,18,30,27,33,34,84,PASS
20-61520,BS MEXE,Third Year,MEXE-3105,at home,Laptop /Personal Computer,10,8,17,0,5.3,16,27,27,25,29,73,REM
20-01583,BS MEXE,Third Year,MEXE-3105,at home,Laptop /Personal Computer,25,12,33,8,7.8,15,30,27,34,35,86,PASS
20-09055,BS MEXE,Third Year,MEXE-3105,at home,Laptop /Personal Computer,22,11,17,0,13.8,2,21,24,35,24,77,PASS
20-03841,BS MEXE,Third Year,MEXE-3105,at a boarding house,"Laptop /Personal Computer, Smart Phones / Android Phones",27,12,33,8,10.5,30,24,49,35,34,88,PASS
20-06229,BS MEXE,Third Year,MEXE-3105,at a boarding house,Smart Phones / Android Phones,6,11,28,0,16.3,18,24,24,34,35,80,PASS
18-07542,BS MEXE,Third Year,MEXE-3105,at a boarding house,"Laptop /Personal Computer, Smart Phones / Android Phones",25,6,32,8,15,9,,,21,27,62,FAIL
20-62614,BS MEXE,Third Year,MEXE-3105,at home,"Laptop /Personal Computer, Smart Phones / Android Phones",16,12,28,4,15.5,17,30,38,30,35,84,PASS
20-65683,BS MEXE,Third Year,MEXE-3105,at home,"Laptop /Personal Computer, Smart Phones / Android Phones",21,12,21,0,8.3,13,30,32,34,27,80,PASS
20-06479,BS MEXE,Third Year,MEXE-3105,at home,"Laptop /Personal Computer, Smart Phones / Android Phones",8,10,28,4,11.5,17,30,45,27,33,81,PASS
20-07772,BS MEXE,Third Year,MEXE-3105,at a boarding house,Smart Phones / Android Phones,9,11,24,0,11,10,30,24,34,30,79,PASS
19-09795,BS MEXE,Third Year,MEXE-3105,at home,Laptop /Personal Computer,0,0,18,0,4.5,23,,,35,,43,FAIL
20-08650,BS MEXE,Third Year,MEXE-3105,at home,Laptop /Personal Computer,12,11,28,4,15,21,30,45,35,33,85,PASS
20-07542,BS MEXE,Third Year,MEXE-3105,at a boarding house,Smart Phones / Android Phones,10,10,20,4,11.3,20,30,45,35,32,82,PASS
20-07739,BS MEXE,Third Year,MEXE-3105,at home,"Laptop /Personal Computer, Smart Phones / Android Phones",36,10,31,8,18,21,30,30,35,35,90,PASS
20-04337,BS MEXE,Third Year,MEXE-3105,at a boarding house,Laptop /Personal Computer,10,13,30,8,15,21,30,27,34,34,85,PASS
20-05409,BS MEXE,Third Year,MEXE-3105,at home,Basic mobile phone,14,9,32,0,10,21,30,25,34,34,81,PASS
20-00830,BS MEXE,Third Year,MEXE-3105,at a boarding house,Smart Phones / Android Phones,11,12,20,0,10,21,30,17,34,22,77,PASS
20-68065,BS MEXE,Third Year,MEXE-3104,at a boarding house,"Laptop /Personal Computer, Smart Phones / Android Phones",9,6,21,4,11.5,2,30,45,31,31,78,PASS
20-09427,BS MEXE,Third Year,MEXE-3104,at a boarding house,"Laptop /Personal Computer, Smart Phones / Android Phones",14,14,30,16,16.5,21,30,50,35,32,91,PASS
